method,source,n_poses,n_targets,pcc_mean_over_models,pcc_ci_low,pcc_ci_high,rmse_mean_over_models,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-crystal,1,282,0.7937153858022936,0.7598272834216323,0.8240368121101904,1.3583422584507616,1.2695399045469258,1.4459497980860245,20000,20000
mean,gnina-crystal,2,282,0.7923874904794441,0.7571953084446248,0.8238916453969992,1.3781969531343352,1.28356281392568,1.4711152861906105,20000,20000
mean,gnina-crystal,3,282,0.794750368225934,0.7590937011506126,0.8265392883599717,1.385930122204125,1.2894566401514083,1.4814359353058864,20000,20000
mean,gnina-crystal,5,282,0.7832569292648842,0.7444533786748097,0.8175228675424193,1.4325560311923318,1.3269532575712877,1.5391222411788739,20000,20000
mean,gnina-crystal,10,282,0.7541528264801831,0.707643536417964,0.7940975692827366,1.532919042628667,1.4155113095292058,1.6518018362772222,20000,20000
mean,gnina-crystal,20,282,0.7304748215673781,0.6799047174670202,0.7743376897599733,1.6324011118537662,1.5054253050388122,1.7630611721505862,20000,20000
mean,gnina-crystal,30,282,0.7152273319275136,0.6622137604493686,0.7614359499906855,1.6929198285146732,1.5617409889947518,1.8277666626986815,20000,20000
mean,gnina-crystal,50,282,0.703545522513487,0.6483114162295902,0.7516568792755948,1.7499702658706962,1.6144614309259664,1.8885178576665083,20000,20000
mean,gnina-crystal,100,283,0.6845402009191194,0.628619160983523,0.7346356311321586,1.84183405886888,1.7009703104458846,1.9810151245534457,20000,20000
mean,gnina-apo,1,282,0.5718474072771477,0.5031843586726077,0.6345984201984444,1.9118571162331919,1.752224224616533,2.0671086048365406,20000,20000
mean,gnina-apo,2,283,0.6025277329978062,0.5387200610476688,0.6606730892833247,1.88153711810941,1.7252268871368643,2.035595748193393,20000,20000
mean,gnina-apo,3,283,0.6112870585911977,0.546768589283132,0.6698995282912122,1.8826495472247509,1.7270425995958638,2.0356863897375175,20000,20000
mean,gnina-apo,5,283,0.605342888100256,0.5414105130039406,0.6640317426482403,1.9093556556422786,1.753264931769705,2.062426405954763,20000,20000
mean,gnina-apo,10,283,0.6050507092796826,0.5392571674323577,0.6642607566318594,1.937571334033691,1.7788793684532853,2.0934359130104774,20000,20000
mean,gnina-apo,20,284,0.5996674359987845,0.5352023110353545,0.6590448495405417,1.9971259176255522,1.829501830420283,2.1646513619717345,20000,20000
mean,gnina-apo,30,284,0.6077804196631753,0.5453466047486091,0.6649213756323097,2.001571438525317,1.8379389624015403,2.162850501581709,20000,20000
mean,gnina-apo,50,284,0.6048450080201079,0.5419184236795942,0.6622779621270478,2.0239260475703817,1.8589963524344129,2.18718353921091,20000,20000
mean,gnina-apo,100,284,0.6018163677493216,0.5391499988144914,0.6593400499401318,2.0570810478764194,1.890213147910975,2.220963940098023,20000,20000
mean,gnina-af3,1,284,0.5130622891471133,0.4394623405583406,0.5797216299572734,2.178597151643309,2.0070621332056873,2.3529307402981794,20000,20000
mean,gnina-af3,2,284,0.546691927362284,0.4764746261868301,0.610827632391175,2.1522798608940326,1.9810846892991139,2.3250658792450145,20000,20000
mean,gnina-af3,3,284,0.545525411156403,0.4765281713041645,0.6078781181884826,2.1601027183361308,1.987784716662516,2.3317950427475456,20000,20000
mean,gnina-af3,5,284,0.5466286320573618,0.47835035508084695,0.6085374087306719,2.172239130944388,1.9987522402818891,2.3449525958728894,20000,20000
mean,gnina-af3,10,284,0.5471955268007227,0.4781319996637979,0.6094893076395302,2.1928271465890115,2.016652841858965,2.369668894401889,20000,20000
mean,gnina-af3,20,284,0.535281003580228,0.4635285365214279,0.5999305959896676,2.2180703604180154,2.039004122160439,2.396586206707082,20000,20000
mean,gnina-af3,30,284,0.5306071918885052,0.45903784405841414,0.5959553714392829,2.233125860837421,2.052105056299461,2.413233653553164,20000,20000
mean,gnina-af3,50,284,0.5276863879056053,0.4557459550732155,0.5932177143678788,2.2467109585561196,2.065494131565451,2.4267640728909563,20000,20000
mean,gnina-af3,100,284,0.5295711685497343,0.4588886846299489,0.5943561288779872,2.2613849726360473,2.0801373540966814,2.4409694593968836,20000,20000
mean,alphafold3,1,270,0.6768228197878875,0.614106950742853,0.7316671450588034,1.6566584602251768,1.510513297609589,1.8047269452528434,20000,20000
mean,alphafold3,2,270,0.6814217526846628,0.6185315634496921,0.7356925591624252,1.648091704706027,1.5004648224518473,1.797193020907981,20000,20000
mean,alphafold3,3,270,0.6831363612194538,0.6195606398698709,0.7380094040608178,1.645887660876582,1.4974769627499016,1.7963420407932544,20000,20000
mean,alphafold3,5,270,0.6842172081056344,0.6200564627536025,0.7395345901038373,1.6433566975885257,1.4942474828754537,1.7939359138595756,20000,20000
mean,alphafold3,10,270,0.6842342354728809,0.6202293806111344,0.7396866186679555,1.642529024319527,1.492451232659327,1.7944319894994099,20000,20000
mean,alphafold3,20,270,0.6862128500460565,0.6225898448971443,0.7413223028725934,1.6374898701497016,1.488762985261221,1.7882413302655285,20000,20000
mean,alphafold3,30,270,0.6867547576297472,0.6228846654243715,0.7422263047717964,1.6371489281079104,1.4874940305691222,1.7889008519444962,20000,20000
mean,alphafold3,50,270,0.6855534452394976,0.6212531235414542,0.7413621790337435,1.640189365648551,1.490024366946094,1.7928963823598392,20000,20000
mean,alphafold3,100,270,0.6833571755931518,0.6191132121567806,0.7399331539476908,1.6480656259783255,1.4960937407920332,1.8019901516939332,20000,20000
median,gnina-crystal,1,282,0.7937153858022936,0.7598272834216323,0.8240368121101904,1.3583422584507616,1.2695399045469258,1.4459497980860245,20000,20000
median,gnina-crystal,2,282,0.7923874904794441,0.7571953084446248,0.8238916453969992,1.3781969531343352,1.28356281392568,1.4711152861906105,20000,20000
median,gnina-crystal,3,282,0.7886290158864121,0.7525175447046655,0.8209268542127883,1.3897671355719976,1.2912581450309373,1.4864443030856558,20000,20000
median,gnina-crystal,5,282,0.780586999299546,0.7410358942336791,0.8154521049954215,1.4239173279494213,1.3183099197122443,1.5296013481682442,20000,20000
median,gnina-crystal,10,282,0.7478444758669213,0.6988319970299796,0.7907983335151925,1.5311760429831103,1.4098584461586583,1.6571364735337752,20000,20000
median,gnina-crystal,20,282,0.7175104515592546,0.6631715851172442,0.7648060238031067,1.6395399067321452,1.5073549020699257,1.776471703109648,20000,20000
median,gnina-crystal,30,282,0.7002522895846708,0.6440040230603195,0.7498532409872753,1.7026412623328635,1.5670846744312028,1.8417811982250674,20000,20000
median,gnina-crystal,50,282,0.6891174988179274,0.6311575950398374,0.7404600513554499,1.7566706080391004,1.6179605318289103,1.8978802722694479,20000,20000
median,gnina-crystal,100,283,0.665835114006138,0.6076408046670293,0.7183477809776918,1.8652408920908865,1.7206979707880694,2.006798624257119,20000,20000
median,gnina-apo,1,282,0.5718474072771477,0.5031843586726077,0.6345984201984444,1.9118571162331919,1.752224224616533,2.0671086048365406,20000,20000
median,gnina-apo,2,283,0.6025277329978062,0.5387200610476688,0.6606730892833247,1.88153711810941,1.7252268871368643,2.035595748193393,20000,20000
median,gnina-apo,3,283,0.5949985599090711,0.5288058741277593,0.6551697630593297,1.899397410882587,1.7445782416402085,2.0521541084613477,20000,20000
median,gnina-apo,5,283,0.5901748796124646,0.5253617460191045,0.6491287856511706,1.9262981470550753,1.771988203606974,2.078987106637989,20000,20000
median,gnina-apo,10,283,0.5905331566743961,0.5247662415136318,0.6505694368396605,1.9581072505641743,1.799559076353309,2.1153169068611306,20000,20000
median,gnina-apo,20,284,0.5892432839882265,0.5251324486738146,0.6485790598189968,2.012904059398438,1.8452388682412781,2.1803384782176476,20000,20000
median,gnina-apo,30,284,0.5952931948013286,0.5321628677839126,0.653104219864071,2.0191575667041723,1.853268624533687,2.1832718227120096,20000,20000
median,gnina-apo,50,284,0.5932979783049601,0.5295913155747605,0.6517557761123771,2.039879887829866,1.8740035816211629,2.204738296366952,20000,20000
median,gnina-apo,100,284,0.5924515112674807,0.5286936726036783,0.650712773774936,2.0728318139327966,1.9045052928564288,2.2378826711708846,20000,20000
median,gnina-af3,1,284,0.5130622891471133,0.4394623405583406,0.5797216299572734,2.178597151643309,2.0070621332056873,2.3529307402981794,20000,20000
median,gnina-af3,2,284,0.546691927362284,0.4764746261868301,0.610827632391175,2.1522798608940326,1.9810846892991139,2.3250658792450145,20000,20000
median,gnina-af3,3,284,0.5292614714584987,0.4570569071894301,0.5951847860161184,2.188373239177355,2.0131981302232655,2.364615228088212,20000,20000
median,gnina-af3,5,284,0.529074633971647,0.45948497100684993,0.5925929590472339,2.1957745209263377,2.0203432663874383,2.3703491847186124,20000,20000
median,gnina-af3,10,284,0.5265370861432105,0.4553663282674165,0.591215164374772,2.220449088846205,2.0389419903664607,2.401719775068101,20000,20000
median,gnina-af3,20,284,0.5208577851425329,0.44721287905403406,0.5877838127893676,2.236706510303625,2.0534036146174355,2.4189984856042437,20000,20000
median,gnina-af3,30,284,0.5187531381123491,0.4460414555886345,0.5852925157664052,2.247799264484544,2.0638909604070834,2.4297496311645133,20000,20000
median,gnina-af3,50,284,0.5158431557163561,0.4424101135043017,0.5827422799168348,2.261104087423181,2.0770831758884793,2.44322155257597,20000,20000
median,gnina-af3,100,284,0.5191031982997865,0.4474634317233852,0.5845400096772563,2.27381741547008,2.090510479980792,2.4550595297235764,20000,20000
median,alphafold3,1,270,0.6768228197878875,0.614106950742853,0.7316671450588034,1.6566584602251768,1.510513297609589,1.8047269452528434,20000,20000
median,alphafold3,2,270,0.6814217526846628,0.6185315634496921,0.7356925591624252,1.648091704706027,1.5004648224518473,1.797193020907981,20000,20000
median,alphafold3,3,270,0.6812924727950792,0.6181060427234952,0.7362900233377064,1.6492924305571965,1.4994507003457462,1.7998717843842682,20000,20000
median,alphafold3,5,270,0.6788057360474475,0.6149928815995533,0.7343612394574836,1.6541237749685305,1.503978746576916,1.805100773602692,20000,20000
median,alphafold3,10,270,0.680264784539107,0.6159865116828765,0.7362470919451892,1.650037909841745,1.4990273086713406,1.8025296436617544,20000,20000
median,alphafold3,20,270,0.6827441759304926,0.6189162774767316,0.7383563395992421,1.6440736137052407,1.4940500693762884,1.7956200533477988,20000,20000
median,alphafold3,30,270,0.6828011432295994,0.618585320627077,0.7386314083854324,1.6441497541719072,1.4934045630983073,1.7966329814658621,20000,20000
median,alphafold3,50,270,0.6814249377384969,0.6169242201529199,0.7376054504000303,1.6481171561646355,1.4965540551448737,1.8017910832922788,20000,20000
median,alphafold3,100,270,0.6774261554492313,0.6121036375812587,0.7352203589331501,1.6587033699997704,1.5049351280926326,1.8142910686943314,20000,20000
