TopN,int_type,source_1,source_2,p_raw,p_adj,significant (p_adj<0.05)
Top100,hydrophobic_interaction,Crystal,GNINA-Crystal,0.793781418993396,0.793781418993396,False
Top100,hydrophobic_interaction,Crystal,GNINA-Apo,2.229623224061767e-09,2.7870290300772083e-09,True
Top100,hydrophobic_interaction,Crystal,GNINA-AF3,1.0027618152371167e-100,2.5069045380927917e-100,True
Top100,hydrophobic_interaction,Crystal,AlphaFold3,0.0005041824644137997,0.0005602027382375552,True
Top100,hydrophobic_interaction,GNINA-Crystal,GNINA-Apo,5.391275038627378e-54,1.0782550077254757e-53,True
Top100,hydrophobic_interaction,GNINA-Crystal,GNINA-AF3,0.0,0.0,True
Top100,hydrophobic_interaction,GNINA-Crystal,AlphaFold3,3.051194373788702e-20,4.3588491054124316e-20,True
Top100,hydrophobic_interaction,GNINA-Apo,GNINA-AF3,0.0,0.0,True
Top100,hydrophobic_interaction,GNINA-Apo,AlphaFold3,3.1712049406877478e-53,5.285341567812913e-53,True
Top100,hydrophobic_interaction,GNINA-AF3,AlphaFold3,0.0,0.0,True
Top100,hydrogen_bond,Crystal,GNINA-Crystal,3.7741536952540653e-07,4.7176921190675813e-07,True
Top100,hydrogen_bond,Crystal,GNINA-Apo,4.232770915819359e-21,6.0468155940276555e-21,True
Top100,hydrogen_bond,Crystal,GNINA-AF3,2.1100714919919187e-121,4.220142983983837e-121,True
Top100,hydrogen_bond,Crystal,AlphaFold3,9.260268975827673e-05,9.763149117785059e-05,True
Top100,hydrogen_bond,GNINA-Crystal,GNINA-Apo,8.351486260793907e-49,1.3919143767989846e-48,True
Top100,hydrogen_bond,GNINA-Crystal,GNINA-AF3,0.0,0.0,True
Top100,hydrogen_bond,GNINA-Crystal,AlphaFold3,9.763149117785059e-05,9.763149117785059e-05,True
Top100,hydrogen_bond,GNINA-Apo,GNINA-AF3,0.0,0.0,True
Top100,hydrogen_bond,GNINA-Apo,AlphaFold3,1.5370437863194043e-186,3.84260946579851e-186,True
Top100,hydrogen_bond,GNINA-AF3,AlphaFold3,0.0,0.0,True
Top100,salt_bridge,Crystal,GNINA-Crystal,0.11180961350152677,0.11180961350152677,False
Top100,salt_bridge,Crystal,GNINA-Apo,2.5933908028516347e-15,3.704844004073764e-15,True
Top100,salt_bridge,Crystal,GNINA-AF3,7.644279884734993e-106,1.911069971183748e-105,True
Top100,salt_bridge,Crystal,AlphaFold3,0.001299023349242676,0.0014433592769363067,True
Top100,salt_bridge,GNINA-Crystal,GNINA-Apo,1.0478764029981037e-65,1.746460671663506e-65,True
Top100,salt_bridge,GNINA-Crystal,GNINA-AF3,0.0,0.0,True
Top100,salt_bridge,GNINA-Crystal,AlphaFold3,3.5307704552441863e-06,4.413463069055232e-06,True
Top100,salt_bridge,GNINA-Apo,GNINA-AF3,0.0,0.0,True
Top100,salt_bridge,GNINA-Apo,AlphaFold3,5.161271337684815e-99,1.032254267536963e-98,True
Top100,salt_bridge,GNINA-AF3,AlphaFold3,0.0,0.0,True
Top100,pi_stack,Crystal,GNINA-Crystal,0.0008594966228256989,0.0010743707785321236,True
Top100,pi_stack,Crystal,GNINA-Apo,6.152951391035452e-05,8.789930558622075e-05,True
Top100,pi_stack,Crystal,GNINA-AF3,6.401551433952812e-54,1.2803102867905623e-53,True
Top100,pi_stack,Crystal,AlphaFold3,0.46808677986832925,0.46808677986832925,False
Top100,pi_stack,GNINA-Crystal,GNINA-Apo,0.0825226523748601,0.09169183597206677,False
Top100,pi_stack,GNINA-Crystal,GNINA-AF3,1.8765673035405817e-213,6.255224345135272e-213,True
Top100,pi_stack,GNINA-Crystal,AlphaFold3,3.967383906716171e-40,6.612306511193618e-40,True
Top100,pi_stack,GNINA-Apo,GNINA-AF3,0.0,0.0,True
Top100,pi_stack,GNINA-Apo,AlphaFold3,2.9022657040706045e-113,7.255664260176511e-113,True
Top100,pi_stack,GNINA-AF3,AlphaFold3,0.0,0.0,True
Top100,pi_cation_interaction,Crystal,GNINA-Crystal,0.31946014713530035,0.4563716387647148,False
Top100,pi_cation_interaction,Crystal,GNINA-Apo,0.09710753393192598,0.1618458898865433,False
Top100,pi_cation_interaction,Crystal,GNINA-AF3,0.8969556407187811,0.8969556407187811,False
Top100,pi_cation_interaction,Crystal,AlphaFold3,0.8252803399241139,0.8969556407187811,False
Top100,pi_cation_interaction,GNINA-Crystal,GNINA-Apo,0.017403627226883215,0.03480725445376643,True
Top100,pi_cation_interaction,GNINA-Crystal,GNINA-AF3,6.799776941365963e-06,1.6999442353414906e-05,True
Top100,pi_cation_interaction,GNINA-Crystal,AlphaFold3,1.249077646225068e-06,4.16359215408356e-06,True
Top100,pi_cation_interaction,GNINA-Apo,GNINA-AF3,1.6926337196011755e-27,8.463168598005878e-27,True
Top100,pi_cation_interaction,GNINA-Apo,AlphaFold3,6.471070020108364e-30,6.471070020108363e-29,True
Top100,pi_cation_interaction,GNINA-AF3,AlphaFold3,0.524828013084311,0.6560350163553887,False
Top100,halogen_bond,Crystal,GNINA-Crystal,0.2180364500099583,0.2725455625124479,False
Top100,halogen_bond,Crystal,GNINA-Apo,0.1301695399937325,0.1945234868455202,False
Top100,halogen_bond,Crystal,GNINA-AF3,7.721761211635614e-08,1.9304403029089035e-07,True
Top100,halogen_bond,Crystal,AlphaFold3,0.07733840345468931,0.15467680690937863,False
Top100,halogen_bond,GNINA-Crystal,GNINA-Apo,0.48156601987137815,0.48156601987137815,False
Top100,halogen_bond,GNINA-Crystal,GNINA-AF3,4.832102872350009e-30,1.6107009574500032e-29,True
Top100,halogen_bond,GNINA-Crystal,AlphaFold3,0.13616644079186413,0.1945234868455202,False
Top100,halogen_bond,GNINA-Apo,GNINA-AF3,2.2151257409853823e-47,1.1075628704926911e-46,True
Top100,halogen_bond,GNINA-Apo,AlphaFold3,0.29309255672603207,0.32565839636225785,False
Top100,halogen_bond,GNINA-AF3,AlphaFold3,2.455855864505141e-60,2.455855864505141e-59,True
Top1,hydrophobic_interaction,Crystal,GNINA-Crystal,0.17649662553042034,0.19610736170046703,False
Top1,hydrophobic_interaction,Crystal,GNINA-Apo,0.023636040173084575,0.029545050216355718,True
Top1,hydrophobic_interaction,Crystal,GNINA-AF3,1.777621064884645e-33,8.888105324423225e-33,True
Top1,hydrophobic_interaction,Crystal,AlphaFold3,0.021553352293311207,0.029545050216355718,True
Top1,hydrophobic_interaction,GNINA-Crystal,GNINA-Apo,0.0004747575788157712,0.0007912626313596187,True
Top1,hydrophobic_interaction,GNINA-Crystal,GNINA-AF3,4.224932871346785e-37,4.224932871346785e-36,True
Top1,hydrophobic_interaction,GNINA-Crystal,AlphaFold3,0.0003562406656417985,0.000712481331283597,True
Top1,hydrophobic_interaction,GNINA-Apo,GNINA-AF3,1.254218839660441e-26,4.1807294655348035e-26,True
Top1,hydrophobic_interaction,GNINA-Apo,AlphaFold3,0.9498120592500746,0.9498120592500746,False
Top1,hydrophobic_interaction,GNINA-AF3,AlphaFold3,6.377192426243795e-26,1.5942981065609486e-25,True
Top1,hydrogen_bond,Crystal,GNINA-Crystal,0.3582452247424719,0.39805024971385766,False
Top1,hydrogen_bond,Crystal,GNINA-Apo,0.00037019415983892607,0.0005288487997698945,True
Top1,hydrogen_bond,Crystal,GNINA-AF3,1.312897174738385e-46,6.564485873691924e-46,True
Top1,hydrogen_bond,Crystal,AlphaFold3,0.005927702141748361,0.007409627677185451,True
Top1,hydrogen_bond,GNINA-Crystal,GNINA-Apo,6.515082580034951e-06,1.3030165160069901e-05,True
Top1,hydrogen_bond,GNINA-Crystal,GNINA-AF3,1.0242074574988393e-50,1.0242074574988392e-49,True
Top1,hydrogen_bond,GNINA-Crystal,AlphaFold3,0.0002468230720458422,0.0004113717867430703,True
Top1,hydrogen_bond,GNINA-Apo,GNINA-AF3,9.302151698092609e-35,2.3255379245231523e-34,True
Top1,hydrogen_bond,GNINA-Apo,AlphaFold3,0.5334872693544542,0.5334872693544542,False
Top1,hydrogen_bond,GNINA-AF3,AlphaFold3,7.579389393426843e-36,2.5264631311422814e-35,True
Top1,salt_bridge,Crystal,GNINA-Crystal,0.9664844356376351,0.9664844356376351,False
Top1,salt_bridge,Crystal,GNINA-Apo,0.001035076294117564,0.0017534549870839372,True
Top1,salt_bridge,Crystal,GNINA-AF3,1.2490312226334323e-17,6.245156113167162e-17,True
Top1,salt_bridge,Crystal,AlphaFold3,0.028103369023755334,0.03743393501148427,True
Top1,salt_bridge,GNINA-Crystal,GNINA-Apo,0.0010520729922503622,0.0017534549870839372,True
Top1,salt_bridge,GNINA-Crystal,GNINA-AF3,7.24759692546517e-18,6.245156113167162e-17,True
Top1,salt_bridge,GNINA-Crystal,AlphaFold3,0.02994714800918742,0.03743393501148427,True
Top1,salt_bridge,GNINA-Apo,GNINA-AF3,9.123300817904941e-09,2.2808252044762352e-08,True
Top1,salt_bridge,GNINA-Apo,AlphaFold3,0.22626198542415765,0.2514022060268418,False
Top1,salt_bridge,GNINA-AF3,AlphaFold3,2.887800001565929e-12,9.626000005219765e-12,True
Top1,pi_stack,Crystal,GNINA-Crystal,0.37572815702957685,0.41747573003286315,False
Top1,pi_stack,Crystal,GNINA-Apo,0.04403232965160118,0.06290332807371597,False
Top1,pi_stack,Crystal,GNINA-AF3,1.3157967095897062e-11,4.3859890319656877e-11,True
Top1,pi_stack,Crystal,AlphaFold3,0.32971311377400403,0.412141392217505,False
Top1,pi_stack,GNINA-Crystal,GNINA-Apo,0.0035785694619940083,0.005964282436656681,True
Top1,pi_stack,GNINA-Crystal,GNINA-AF3,3.0852010440907335e-14,1.5426005220453667e-13,True
Top1,pi_stack,GNINA-Crystal,AlphaFold3,0.9253387142429649,0.9253387142429649,False
Top1,pi_stack,GNINA-Apo,GNINA-AF3,7.525346247759374e-07,1.8813365619398432e-06,True
Top1,pi_stack,GNINA-Apo,AlphaFold3,0.0027622392500741607,0.005524478500148321,True
Top1,pi_stack,GNINA-AF3,AlphaFold3,1.845254272561688e-14,1.5426005220453667e-13,True
Top1,pi_cation_interaction,Crystal,GNINA-Crystal,0.5792564487181907,0.6436182763535452,False
Top1,pi_cation_interaction,Crystal,GNINA-Apo,0.17452070031092493,0.4363017507773123,False
Top1,pi_cation_interaction,Crystal,GNINA-AF3,0.4606458065190282,0.6436182763535452,False
Top1,pi_cation_interaction,Crystal,AlphaFold3,0.40421419203431985,0.6436182763535452,False
Top1,pi_cation_interaction,GNINA-Crystal,GNINA-Apo,0.41948599724613855,0.6436182763535452,False
Top1,pi_cation_interaction,GNINA-Crystal,GNINA-AF3,0.8503626516055418,0.8503626516055418,False
Top1,pi_cation_interaction,GNINA-Crystal,AlphaFold3,0.1669860490935684,0.4363017507773123,False
Top1,pi_cation_interaction,GNINA-Apo,GNINA-AF3,0.539833831945566,0.6436182763535452,False
Top1,pi_cation_interaction,GNINA-Apo,AlphaFold3,0.030181229201460942,0.3018122920146094,False
Top1,pi_cation_interaction,GNINA-AF3,AlphaFold3,0.11967974835753395,0.4363017507773123,False
Top1,halogen_bond,Crystal,GNINA-Crystal,0.7504298147831994,0.7504298147831994,False
Top1,halogen_bond,Crystal,GNINA-Apo,0.59667524442663,0.7458440555332875,False
Top1,halogen_bond,Crystal,GNINA-AF3,0.0021293668050784476,0.010646834025392238,True
Top1,halogen_bond,Crystal,AlphaFold3,0.38720780780976993,0.5651642545860343,False
Top1,halogen_bond,GNINA-Crystal,GNINA-Apo,0.39561497821022396,0.5651642545860343,False
Top1,halogen_bond,GNINA-Crystal,GNINA-AF3,0.0007760862543271278,0.007760862543271277,True
Top1,halogen_bond,GNINA-Crystal,AlphaFold3,0.23719441995563506,0.4743888399112701,False
Top1,halogen_bond,GNINA-Apo,GNINA-AF3,0.009155135927424408,0.03051711975808136,True
Top1,halogen_bond,GNINA-Apo,AlphaFold3,0.7329249753588933,0.7504298147831994,False
Top1,halogen_bond,GNINA-AF3,AlphaFold3,0.022523944991710853,0.05630986247927713,False
